"Informant","Northern","SentenceID","read","Version","InformantGroup","UniqueNumb","type","Realization","Reflexive","Adverb","Subcondition","WordOrder","Comment"
"KO22","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO25","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål si at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO26","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sier at han alltid sett seg bak ofte sett seg bakerst i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO27","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sier at han ofte sætte seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO28","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sier at han alltid at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO29","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sie at han setter seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"KO30","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sier at han alltid sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","OTHER","change adv"
"KO31","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Han Pål sa at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO32","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sier han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO41","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"C",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR003","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR004","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR009","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR011","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","N Pål sier at n ofte sætt seg bakerst i bussen i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR024","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR025","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål seie at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR028","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål si at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR030","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han setter seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR031","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR039","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR040","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sie at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR041","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han setter seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR043","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR049","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
